Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Story 1.3 — Isolation des données (Multi-tenant),GED-11,10419,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:15 PM,22/Dec/25 12:19 PM,22/Dec/25 2:28 PM,,,0,"En tant qu’organisation, je veux que mes données soient isolées.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000uv:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10409,GED-1,"ÉPIC 1 — Authentification, Comptes & Sécurité",In Progress,22/Dec/25 12:18 PM
[BE] Auth module.,GED-12,10421,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:15 PM,22/Dec/25 12:16 PM,25/Dec/25 11:39 AM,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000v3:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:15 PM
[BE] Login avec JWT.,GED-13,10423,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:16 PM,22/Dec/25 12:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000vb:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:16 PM
[BE] Hash password (bcrypt).,GED-14,10425,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:16 PM,22/Dec/25 12:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000vj:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:16 PM
[BE] Guards Auth.,GED-15,10427,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:16 PM,22/Dec/25 12:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000vr:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:16 PM
[BE] Guards Roles.,GED-16,10429,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:16 PM,22/Dec/25 12:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000vz:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:16 PM
[TEST] Tests unitaires AuthService / AuthController.,GED-17,10431,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:16 PM,22/Dec/25 12:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000w7:,GEDPRO REST API APP,,,,,10417,GED-9,User Story 1.1 — Authentification,To Do,22/Dec/25 12:16 PM
[BE] Modèle User + Role.,GED-18,10433,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:17 PM,22/Dec/25 12:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000wf:,GEDPRO REST API APP,,,,,10418,GED-10,User Story 1.2 — Comptes & Sous-comptes,To Do,22/Dec/25 12:17 PM
[BE] CRUD utilisateurs.,GED-19,10435,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:17 PM,22/Dec/25 12:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000wn:,GEDPRO REST API APP,,,,,10418,GED-10,User Story 1.2 — Comptes & Sous-comptes,To Do,22/Dec/25 12:17 PM
[BE] Attribution des rôles.,GED-20,10437,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:17 PM,22/Dec/25 12:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000wv:,GEDPRO REST API APP,,,,,10418,GED-10,User Story 1.2 — Comptes & Sous-comptes,To Do,22/Dec/25 12:17 PM
[BE] Restriction d’accès par rôle.,GED-21,10439,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:17 PM,22/Dec/25 12:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000x3:,GEDPRO REST API APP,,,,,10418,GED-10,User Story 1.2 — Comptes & Sous-comptes,To Do,22/Dec/25 12:17 PM
[TEST] Tests unitaires gestion comptes.,GED-22,10441,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:18 PM,22/Dec/25 12:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000xb:,GEDPRO REST API APP,,,,,10418,GED-10,User Story 1.2 — Comptes & Sous-comptes,To Do,22/Dec/25 12:18 PM
[BE] Modèle Organization.,GED-23,10443,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:18 PM,22/Dec/25 12:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000xj:,GEDPRO REST API APP,,,,,10419,GED-11,User Story 1.3 — Isolation des données (Multi-tenant),To Do,22/Dec/25 12:18 PM
[BE] Association User → Organization.,GED-24,10445,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:18 PM,22/Dec/25 12:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000xr:,GEDPRO REST API APP,,,,,10419,GED-11,User Story 1.3 — Isolation des données (Multi-tenant),To Do,22/Dec/25 12:18 PM
[BE] Filtrage automatique par organizationId.,GED-25,10447,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:19 PM,22/Dec/25 12:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000xz:,GEDPRO REST API APP,,,,,10419,GED-11,User Story 1.3 — Isolation des données (Multi-tenant),To Do,22/Dec/25 12:19 PM
[BE] Middleware / Guard Multi-tenant.,GED-26,10449,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:19 PM,22/Dec/25 12:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000y7:,GEDPRO REST API APP,,,,,10419,GED-11,User Story 1.3 — Isolation des données (Multi-tenant),To Do,22/Dec/25 12:19 PM
[TEST] Tests unitaires isolation des données.,GED-27,10451,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:19 PM,22/Dec/25 12:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000yf:,GEDPRO REST API APP,,,,,10419,GED-11,User Story 1.3 — Isolation des données (Multi-tenant),To Do,22/Dec/25 12:19 PM
User Story 2.1 — Upload & stockage sécurisé,GED-28,10452,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:13 PM,22/Dec/25 2:16 PM,22/Dec/25 2:28 PM,,,0,"En tant que RH, je veux uploader et stocker des documents RH.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000yn:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10410,GED-2,ÉPIC 2 — Gestion Documentaire RH (GED),In Progress,22/Dec/25 2:16 PM
[BE] Upload fichiers.,GED-29,10454,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:14 PM,22/Dec/25 2:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000yv:,GEDPRO REST API APP,,,,,10452,GED-28,User Story 2.1 — Upload & stockage sécurisé,To Do,22/Dec/25 2:14 PM
[BE] Intégration MinIO,GED-30,10456,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:14 PM,22/Dec/25 2:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000z3:,GEDPRO REST API APP,,,,,10452,GED-28,User Story 2.1 — Upload & stockage sécurisé,To Do,22/Dec/25 2:14 PM
"[BE] Métadonnées document (type, owner, date)",GED-31,10458,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:14 PM,22/Dec/25 2:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000zb:,GEDPRO REST API APP,,,,,10452,GED-28,User Story 2.1 — Upload & stockage sécurisé,To Do,22/Dec/25 2:14 PM
[BE] Accès restreint par rôle.,GED-32,10460,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:14 PM,22/Dec/25 2:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000zj:,GEDPRO REST API APP,,,,,10452,GED-28,User Story 2.1 — Upload & stockage sécurisé,To Do,22/Dec/25 2:14 PM
[TEST] Tests unitaires upload & accès.,GED-33,10462,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:15 PM,22/Dec/25 2:16 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000zr:,GEDPRO REST API APP,,,,,10452,GED-28,User Story 2.1 — Upload & stockage sécurisé,To Do,22/Dec/25 2:15 PM
User Story 2.2 — OCR & extraction de texte,GED-34,10463,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:15 PM,22/Dec/25 2:16 PM,22/Dec/25 2:28 PM,,,0,"En tant que système, je veux analyser automatiquement les documents.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000zz:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10410,GED-2,ÉPIC 2 — Gestion Documentaire RH (GED),In Progress,22/Dec/25 2:16 PM
[BE] Intégration OCR (Tesseract ou équivalent).,GED-35,10465,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:16 PM,22/Dec/25 2:17 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00107:,GEDPRO REST API APP,,,,,10463,GED-34,User Story 2.2 — OCR & extraction de texte,To Do,22/Dec/25 2:16 PM
[BE] Extraction texte depuis documents.,GED-36,10467,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:16 PM,22/Dec/25 2:17 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0010f:,GEDPRO REST API APP,,,,,10463,GED-34,User Story 2.2 — OCR & extraction de texte,To Do,22/Dec/25 2:16 PM
[BE] Stockage du texte analysé.,GED-37,10469,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:16 PM,22/Dec/25 2:17 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0010n:,GEDPRO REST API APP,,,,,10463,GED-34,User Story 2.2 — OCR & extraction de texte,To Do,22/Dec/25 2:16 PM
[TEST] Tests unitaires OCR service.,GED-38,10471,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:16 PM,22/Dec/25 2:17 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0010v:,GEDPRO REST API APP,,,,,10463,GED-34,User Story 2.2 — OCR & extraction de texte,To Do,22/Dec/25 2:16 PM
